epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7366,1.20564,2.34041,1.4946,0.58974,0.5,0.45896,0.37278,1.03801,2.18089,1.74633,0.000414244,0.000414244,0.000414244
2,44.0979,1.27396,1.86559,1.52561,0.5323,0.75,0.63446,0.31969,1.44489,2.27266,2.28805,0.000820628,0.000820628,0.000820628
3,65.5727,1.29955,1.75999,1.55231,0.50206,1,0.995,0.59693,1.15468,1.36251,1.89944,0.0012167,0.0012167,0.0012167
4,87.2662,1.32032,1.65924,1.55328,0.64863,0.375,0.69808,0.42818,1.33116,2.06498,2.14678,0.00120359,0.00120359,0.00120359
5,109.902,1.28232,1.54178,1.50666,0.85679,0.75,0.995,0.66167,1.35737,1.39688,1.93068,0.00118812,0.00118812,0.00118812
6,134.087,1.25806,1.43809,1.49482,0.82192,0.625,0.75417,0.55653,1.07447,1.22307,1.76179,0.00117266,0.00117266,0.00117266
7,157.897,1.23595,1.40018,1.47977,0.82482,0.625,0.76677,0.52044,0.97064,1.32957,1.63643,0.00115719,0.00115719,0.00115719
8,181.684,1.23869,1.36659,1.47361,0.73124,0.73123,0.70479,0.55681,0.97435,0.98205,1.71293,0.00114172,0.00114172,0.00114172
9,205.543,1.20364,1.30443,1.46129,0.63778,0.875,0.95333,0.64225,1.00898,0.85758,1.74203,0.00112625,0.00112625,0.00112625
10,229.229,1.2044,1.28421,1.45334,0.83855,0.75,0.82896,0.62473,0.98565,0.91657,1.71985,0.00111078,0.00111078,0.00111078
11,252.234,1.17401,1.23802,1.44219,0.9083,0.97938,0.995,0.79001,0.9061,0.69495,1.58456,0.00109531,0.00109531,0.00109531
12,274.988,1.18728,1.21563,1.44267,0.92853,0.625,0.82896,0.6394,0.83021,0.79437,1.54549,0.00107984,0.00107984,0.00107984
13,297.341,1.16106,1.15488,1.41228,0.93724,0.75,0.995,0.68663,0.84588,0.9194,1.49464,0.00106437,0.00106437,0.00106437
14,319.696,1.16816,1.1496,1.41489,0.83576,0.75,0.995,0.70913,0.98829,0.88531,1.65492,0.00104891,0.00104891,0.00104891
15,341.938,1.13451,1.12551,1.39239,0.38918,0.875,0.6909,0.5869,0.93039,1.11017,1.70791,0.00103344,0.00103344,0.00103344
16,364.227,1.13528,1.08668,1.39567,0.70802,1,0.995,0.83338,0.82222,0.64584,1.49068,0.00101797,0.00101797,0.00101797
17,386.634,1.13182,1.07159,1.3963,0.89444,0.625,0.9325,0.68567,0.8908,0.97464,1.59585,0.0010025,0.0010025,0.0010025
18,409.467,1.11857,1.05827,1.37971,0.94295,0.625,0.95333,0.79091,0.73133,0.8698,1.36466,0.000987031,0.000987031,0.000987031
19,432.128,1.10674,1.04114,1.37707,0.78523,0.875,0.9325,0.6807,0.91546,0.76545,1.58783,0.000971562,0.000971562,0.000971562
20,455.191,1.1008,1.05194,1.37799,0.94873,0.5,0.92,0.62325,0.91047,1.25372,1.54392,0.000956094,0.000956094,0.000956094
21,478.383,1.09859,1.04327,1.3665,0.75189,1,0.995,0.80856,0.77433,0.66904,1.42255,0.000940625,0.000940625,0.000940625
22,501.346,1.10404,1.03155,1.37163,0.88034,1,0.995,0.8235,0.85377,0.56189,1.52872,0.000925156,0.000925156,0.000925156
23,524.448,1.08226,0.97375,1.34914,0.73863,1,0.995,0.82109,0.85232,0.64612,1.45906,0.000909688,0.000909688,0.000909688
24,547.711,1.08532,0.9662,1.35449,0.83014,1,0.995,0.73149,1.03795,0.56488,1.75635,0.000894219,0.000894219,0.000894219
25,570.453,1.09496,0.97476,1.36311,0.95364,0.75,0.995,0.80924,0.78802,0.64841,1.49421,0.00087875,0.00087875,0.00087875
26,593.068,1.06203,0.94909,1.33668,0.92803,0.73013,0.995,0.84044,0.84722,0.83109,1.46185,0.000863281,0.000863281,0.000863281
27,615.563,1.05459,0.93193,1.33866,0.81923,1,0.995,0.84638,0.76621,0.53595,1.4704,0.000847813,0.000847813,0.000847813
28,638.761,1.04395,0.90416,1.32072,0.89276,1,0.995,0.76879,0.78412,0.63951,1.37148,0.000832344,0.000832344,0.000832344
29,661.517,1.0411,0.9112,1.32,0.9035,1,0.995,0.81654,0.81522,0.53578,1.44311,0.000816875,0.000816875,0.000816875
30,688.078,1.04662,0.87794,1.32114,0.75525,1,0.995,0.85857,0.76098,0.58816,1.38098,0.000801406,0.000801406,0.000801406
31,718.093,1.0386,0.87759,1.31575,0.96658,0.75,0.995,0.71616,0.86007,0.65965,1.44222,0.000785938,0.000785938,0.000785938
32,747.55,1.03178,0.88253,1.30935,0.76526,0.9271,0.95333,0.7203,0.83947,0.59232,1.51432,0.000770469,0.000770469,0.000770469
33,773.079,1.03526,0.86614,1.31364,0.90837,1,0.995,0.63654,1.06136,0.53355,1.59576,0.000755,0.000755,0.000755
34,796.493,1.03499,0.86358,1.32153,0.94873,0.73017,0.995,0.79835,0.78595,0.81414,1.36736,0.000739531,0.000739531,0.000739531
35,819.708,1.02665,0.84244,1.31458,0.85136,1,0.995,0.74343,0.86415,0.47945,1.49528,0.000724062,0.000724062,0.000724062
36,843.609,1.0188,0.83473,1.30682,0.93711,0.73107,0.995,0.81268,0.69952,0.68937,1.36769,0.000708594,0.000708594,0.000708594
37,867.055,1.01182,0.83143,1.29275,0.93095,0.73201,0.87062,0.67391,0.79985,0.69546,1.36043,0.000693125,0.000693125,0.000693125
38,890.674,0.99786,0.81629,1.29157,0.78983,1,0.995,0.8028,0.7998,0.5757,1.41478,0.000677656,0.000677656,0.000677656
39,914.108,1.01903,0.81518,1.29316,0.83928,1,0.995,0.78383,0.71426,0.44268,1.34448,0.000662188,0.000662188,0.000662188
40,939.736,0.99412,0.80472,1.2819,0.8658,1,0.995,0.79079,0.76137,0.50218,1.39523,0.000646719,0.000646719,0.000646719
41,965.485,0.98155,0.79525,1.27537,0.89372,1,0.995,0.84654,0.68494,0.3966,1.3184,0.00063125,0.00063125,0.00063125
42,989.398,0.98716,0.79746,1.28006,0.78316,1,0.995,0.79872,0.77032,0.64718,1.34955,0.000615781,0.000615781,0.000615781
43,1013.74,0.98959,0.78769,1.28344,0.90504,0.64095,0.995,0.80334,0.69958,0.75919,1.28292,0.000600313,0.000600313,0.000600313
44,1042.53,0.97649,0.77968,1.28171,0.64055,1,0.995,0.76324,0.63496,0.48809,1.29487,0.000584844,0.000584844,0.000584844
45,1068.56,0.98457,0.78278,1.27978,0.59248,1,0.995,0.78637,0.68382,0.61506,1.28734,0.000569375,0.000569375,0.000569375
46,1092.21,0.96471,0.75248,1.26643,0.71933,1,0.995,0.82706,0.7349,0.5969,1.33376,0.000553906,0.000553906,0.000553906
47,1118.11,0.96523,0.7468,1.26523,0.89495,0.97666,0.995,0.83504,0.66023,0.45001,1.24275,0.000538438,0.000538438,0.000538438
48,1146.92,0.96286,0.73308,1.26131,0.87166,0.875,0.95333,0.81304,0.68918,0.45012,1.30512,0.000522969,0.000522969,0.000522969
49,1176.31,0.96483,0.73419,1.27014,0.76405,0.87818,0.95333,0.78177,0.65642,0.64302,1.2382,0.0005075,0.0005075,0.0005075
50,1204.25,0.94391,0.71593,1.25051,0.77308,0.99184,0.95333,0.75961,0.80706,0.67309,1.40223,0.000492031,0.000492031,0.000492031
51,1229.07,0.95874,0.71858,1.25683,0.91615,1,0.995,0.85033,0.63837,0.46141,1.22414,0.000476562,0.000476562,0.000476562
